Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,,,,,,,,,,,,,,,,,0
Gcrew_WC_B_T5,Sample,unknown,unknown,unknown,5263635,24552,9868,,,,,,,,,,,,,,,,,,
Gcrew_WC_B_T6,Sample,unknown,unknown,unknown,4101104,15498,14955,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T0,Sample,unknown,unknown,unknown,4728701,953132,4898,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T1,Sample,unknown,unknown,unknown,3035180,96096,5560,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T2,Sample,unknown,unknown,unknown,6041623,29470,23581,,,,,,,,,,,,,,,,,,
ChkStd_12mLLowTri2,ChkStd,unknown,unknown,unknown,269373,6241,11638,,,,,,,,,,,,,,,,,,
Blank6,Blank,unknown,unknown,unknown,8104,256,105,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T3,Sample,unknown,unknown,unknown,3776342,28428,5255,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T4,Sample,unknown,unknown,unknown,3542430,12905,4399,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T5,Sample,unknown,unknown,unknown,6244239,909057,15615,,,,,,,,,,,,,,,,,,
Gcrew_WC_C_T6,Sample,unknown,unknown,unknown,4926732,44436,5132,,,,,,,,,,,,,,,,,,
SWH_UP_A_T0,Sample,unknown,unknown,unknown,7096850,26504,151855,,,,,,,,,,,,,,,,,,
SWH_UP_A_T1,Sample,unknown,unknown,unknown,6830536,13272,201617,,,,,,,,,,,,,,,,,,
SWH_UP_A_T2,Sample,unknown,unknown,unknown,6861649,16280,217931,,,,,,,,,,,,,,,,,,
SWH_UP_A_T3,Sample,unknown,unknown,unknown,7525277,11607,215076,,,,,,,,,,,,,,,,,,
SWH_UP_A_T4,Sample,unknown,unknown,unknown,6746469,11476,137068,,,,,,,,,,,,,,,,,,
SWH_UP_A_T5,Sample,unknown,unknown,unknown,7275278,15045,103118,,,,,,,,,,,,,,,,,,
ChkStd_12mLLowTri3,ChkStd,unknown,unknown,unknown,260989,6343,9543,,,,,,,,,,,,,,,,,,
Blank7,Blank,unknown,unknown,unknown,10651,242,583,,,,,,,,,,,,,,,,,,
SWH_UP_A_T6,Sample,unknown,unknown,unknown,6395481,20830,52383,,,,,,,,,,,,,,,,,,
SWH_UP_B_T0,Sample,unknown,unknown,unknown,5158362,5753,44291,,,,,,,,,,,,,,,,,,
SWH_UP_B_T1,Sample,unknown,unknown,unknown,5397209,15321,80155,,,,,,,,,,,,,,,,,,
SWH_UP_B_T2,Sample,unknown,unknown,unknown,6471239,13055,165814,,,,,,,,,,,,,,,,,,
SWH_UP_B_T3,Sample,unknown,unknown,unknown,6278445,14175,120875,,,,,,,,,,,,,,,,,,
SWH_UP_B_T4,Sample,unknown,unknown,unknown,6521393,11911,87840,,,,,,,,,,,,,,,,,,
SWH_UP_B_T5,Sample,unknown,unknown,unknown,5149852,19377,51643,,,,,,,,,,,,,,,,,,
SWH_UP_B_T6,Sample,unknown,unknown,unknown,6188871,10710,34576,,,,,,,,,,,,,,,,,,
SWH_UP_C_T0,Sample,unknown,unknown,unknown,8237585,3409,45165,,,,,,,,,,,,,,,,,,
SWH_UP_C_T1,Sample,unknown,unknown,unknown,5910003,2781,137249,,,,,,,,,,,,,,,,,,
ChkStd_12mLLowTri4,ChkStd,unknown,unknown,unknown,254988,6038,22030,,,,,,,,,,,,,,,,,,
Blank8,Blank,unknown,unknown,unknown,12373,218,670,,,,,,,,,,,,,,,,,,
SWH_UP_C_T2,Sample,unknown,unknown,unknown,5745437,4942,93181,,,,,,,,,,,,,,,,,,
SWH_UP_C_T3,Sample,unknown,unknown,unknown,6817031,9042,70684,,,,,,,,,,,,,,,,,,
SWH_UP_C_T4,Sample,unknown,unknown,unknown,7647154,12426,85554,,,,,,,,,,,,,,,,,,
SWH_UP_C_T5,Sample,unknown,unknown,unknown,8705570,14084,41613,,,,,,,,,,,,,,,,,,
SWH_UP_C_T6,Sample,unknown,unknown,unknown,8513835,14995,34098,,,,,,,,,,,,,,,,,,
SWH_TR_A_T0,Sample,unknown,unknown,unknown,4381937,7225,11189,,,,,,,,,,,,,,,,,,
SWH_TR_A_T1,Sample,unknown,unknown,unknown,4213170,10265,15152,,,,,,,,,,,,,,,,,,
SWH_TR_A_T2,Sample,unknown,unknown,unknown,4842605,7540,56528,,,,,,,,,,,,,,,,,,
SWH_TR_A_T3,Sample,unknown,unknown,unknown,4535477,11401,14584,,,,,,,,,,,,,,,,,,
SWH_TR_A_T4,Sample,unknown,unknown,unknown,5524041,121589,12602,,,,,,,,,,,,,,,,,,
ChkStd_12mLLowTri5,ChkStd,unknown,unknown,unknown,253808,6337,30278,,,,,,,,,,,,,,,,,,
Blank9,Blank,unknown,unknown,unknown,15455,241,369,,,,,,,,,,,,,,,,,,
SWH_TR_A_T5,Sample,unknown,unknown,unknown,3168180,17473,13914,,,,,,,,,,,,,,,,,,
SWH_TR_A_T6,Sample,unknown,unknown,unknown,4613119,22668,14242,,,,,,,,,,,,,,,,,,
SWH_TR_B_T0,Sample,unknown,unknown,unknown,4094338,15515,3461,,,,,,,,,,,,,,,,,,
SWH_TR_B_T1,Sample,unknown,unknown,unknown,4541371,40041,18105,,,,,,,,,,,,,,,,,,
SWH_TR_B_T2,Sample,unknown,unknown,unknown,4150647,13366,24772,,,,,,,,,,,,,,,,,,
SWH_TR_B_T3,Sample,unknown,unknown,unknown,2643654,18647,34032,,,,,,,,,,,,,,,,,,
SWH_TR_B_T4,Sample,unknown,unknown,unknown,3730658,13966,5581,,,,,,,,,,,,,,,,,,
SWH_TR_B_T5,Sample,unknown,unknown,unknown,4032903,34624,5140,,,,,,,,,,,,,,,,,,
SWH_TR_B_T6,Sample,unknown,unknown,unknown,3924973,133925,4674,,,,,,,,,,,,,,,,,,
ChkStd_12mLLowTri6,ChkStd,unknown,unknown,unknown,240153,6318,13831,,,,,,,,,,,,,,,,,,
Blank10,Blank,unknown,unknown,unknown,27718,232,1266,,,,,,,,,,,,,,,,,,
Blank11,Blank,unknown,unknown,unknown,5742,238,237,,,,,,,,,,,,,,,,,,
